Year,Average Electricity Cost
FY2010,3.55
FY2011,3.98
FY2012,4.55
FY2013,5.03
FY2014,5.19
FY2015,5.21
FY2016,5.43
FY2017,5.48
FY2018,5.6
FY2019,6
FY2020,6.15
FY2021,6.19
FY2022,6.29
